ID,Message,NS,NNS
205,"OK, same situation here :-) Marskell and I agreed on a proposal that would initially just give us some backup on the day-to-day stuff, not necessarily closes, but to work in to people who could help when we needed time off. Is it OK with you if I go ahead and propose that to Raul?",1,1
206,"That line in <url>: ''<url>, the slashed zero character'', shouldn't it be ''<url> or slashed zero, the slashed zero character''? How's <url> doing?",0,-1
207,"Hey,saw you had a page in the works in your sandbox. Are you planning to move it to mainspace soon?",0,-1
208,"Thanks. As for the previous edits, should I make a note on the User Page that it's my account?",1,0
209,"Uh, okay, the tabs for the pull-down menues, which were visible to me before, are no longer visible. Is this because i screwed up a setting with Twinkle, or because my thinkpad is not displaying the entire page (preliminary fiddling around seems to eliminate this possibility)?",-1,0
210,"Hi Editorofthewiki, both images are just fine. I don't see an open review for the article; is there somewhere in particular you'd like me to make this comment, if not just here?",1,0
211,"'<url>'''Please also answer the questions at paragraph '''<url>''' above, as you are looking like a classic bully admin who abuses his powers and should be stripped of that role. Is there any review process in wikipedia, for proposing that you be stripped of your admin powers for bullyism?",-1,-1
212,Great job. Will it be done by next week?,1,1
213,"I aggree... river name then ""River"". Do you think that since it's a list of rivers in China we should use the Chinese name and the international norm name too?",1,1
214,I believe that an opinion about AS belongs only to article about AS (and you are welcome to cite the MS opinion ''in proper context''). However an opinion about MS belongs only to article about MS. Is not this fair and logical?,0,0
215,"Another thing, I been working on trying to improve the SVG graphics at the Commons. Except for the white color background, does everything else at <url> look decent?",0,0
216,"<name>, since you're the uninvolved admin here, can you just block this <url>? Or do I have to report him to Adimistrator noticeboard?",-1,0
217,"Were you the person who originally put FoxTrot up for peer review? If you are, can you help me find the original request for peer review, so someone can resubmit a request and have the article reviewed again?",0,0
218,Wonderful! :) Do you particularly like to work on comics creators' articles?,1,1
219,"Well, if Mattisse has caused me to CU innocent editors, then it's time for her to be blocked from editing her own talk page. MC, do you think I should withdraw the CU or let it ride?",-1,0
220,Still wondering and hoping. Rather not?,-1,0
221,I will have to hunt out my albums and take a look. Do you mean something like a photographer's credit?,1,0
222,"Hi, I have cleaned up this page and, in the , identified many other sources and additional content. I wonder if you would reconsider your delete !vote please (I will do the necessary expansion as and when there is a reasonable expectation of it being kept)?",1,1
223,I tend not to be an Request for Comment closer -- apologies. Hopefully someone else will?,0,0
224,"Why, precisely? And what separates the etiquette of your area of society from our ""conventional etiquette"" speed-developed on the Internet?",-1,-1
225,"<name>, I'm very sorry about confusing the rabbit character in <url> with the official Bugs in <url>. He may not be the gray rabbit that we recognize, but he is supposed to be Bugs in prototype form, right?",2,2
226,"Hi <name>. I'm thinking it might be a bad idea to start linking all unnamed EP recordings to the EP dab page. Could turn into a very massive list, and maybe not the right use for a dab page?",1,1
227,"Thanks for the various corrections you have made to this article. Do you have a source for the Anglo-Saxon Chronicle date of 921, please?",2,1
228,Thanks for adding that ref to <url>. I don't suppose your copy of Conway's says anything about the roles and fates of ''Schleswig-Holstein'' or ''Schleisen''?,1,0
229,I am out of YUBC (I wonder myself how can I even post here). Could you do it?,0,0
230,Are you saying that you have a close or imtimate relationship with N.I.?,0,-1
231,<url> did the copyedit for the Japanese flag article and it was completed today. Is there anything else other than a copyedit that you need for this article?,1,0
232,"Huaiwei, there is this guy HkCaGu who insist that we shouldnt put Tianjin as one of Xiamen Airline's destination from Singapore just because it passes by Xiamen(MF's HUB) however, this is a direct flight from singapore to tianjin via xiamen. what are your views?",0,0
233,"I was just about to create an article on the 2009 Malawian election; the purpose of adding it to the template was to give me a convenient link when I decided to do it. If red linked elections can't go in the template, why don't you delete all the red linked past elections?",0,0
234,"I've now blocked them as the account appears to be used only for vandalism. Since your username is prone to being mis-spelled can I suggest you set up some ""dead"" <url> accounts to pre-empt further impersonations?",0,0
235,"Yes, I appreciate that my edits were not the best, but they are currently the best available in Wikipedia for guiding readers in understanding there the emergence of the legal systems of the United Kingdom. Do You have a better suggestion?",0,0
236,Hi. Just wondering why you deleted the OneCone International article?,0,0
237,"<name>, I'm with you, stepping back and looking at it. Shall I merge-tag them or should we just merge them in-house?",1,0
238,I noticed your edits and the Vote for Deletion discussion on the topic. Are you on facebook?,0,0
239,Let's pretend that we have reached an impasse and then we can stop talking to each other. Deal?,-1,-1
240,Why are you putting <nowiki><person></nowiki> on several pages related with Yu-musicians? IMO this is a pretty <strike>stup</strike> meaningless stub to have; why not <nowiki><person></nowiki> instead?,-1,-1
241,"Yeah, I agree. What's up with that?",0,0
242,How do you fix all those edits at once? Do you have to be an admin to do so?,0,0
243,"Sorry if it seems like I'm bugging you about the above image - I'm trying to determine the copyright holder, which needs to be specified on the image page per <url>a. When I click on the source link, I get an ""access forbidden"" message. Can you please specify the copyright holder on the page?",1,1
244,What State are you from? New Jersey?,-1,0
245,"If you're not using your user page, you should try redirecting it to your talk. Or is this a statement on the futility of userpages in general?",-1,0
246,Well? What do you think?,0,0
247,I don't think I'll have the time to keep the flies off it all week but I'll have a go (I might get around to incorporating Caitlin Moran's detailed reviews too). Could you not semi it as well?,-1,1
248,"I think I'm gonna request a free image from a Wikipedia biography subject by following <url>. I was wondering, if I'm planning to upload the image to Commons and the subject doesn't speak English to understand the e-mail, what should I do?",0,1
249,"Right, I was demonstrating that one could merge <person> with <person>, that option would not appear on players that were not Dual players. Did anything actually break?",0,0
250,Turkish boys are circumcised they are Muslim's. Why did you delete it?,-1,0
251,"I can certainly suggest to Isarig that 3RR is not an entitlement, and that dicussion is often the better approach. Would you like me to try to mediate the Karsh page?",1,1
252,So you're interested in both Amiga computers and BDSM! Are you an atheist too?,-1,0
253,"One deleteable article at a time, please. This is a <url> G4; do you agree, and if not, why not?",-1,0
254,You just built an article called Fort Fort Mitchel. Did you mean to have two fort's in the title?,0,0
255,"""* <url>: 87/88 Quarterfinal (winfall viktory in the second round against former leader of the <url> <url>)""? Is there a misetake?",-1,0
256,"Correcting an article to remove mention of something that ''was made up here in Wikipedia'' and does not exist in any formal definition of the article's subject is a furtherance of the <url> policy, not vandalism. Are you interested in knee-jerk reverting, or in actually making your encyclopedia correct and accurate?",-2,0
257,how do you know that Yuvan is confirmed for Striker? You indeed referring to the <url> starring Siddharth?,-1,-1
258,"Incidentally, your username seems familiar. Do you contribute to SPGB-related forums by any chance?",0,0
259,"Up to you - I see myself picking off one or two every now and then but nowhere near the level of work NortyNort is doing now. By the way, I have an open CCI request that I want a second opinion on - could you please help?",0,0
260,Please don't talk like a robot. What harm did it do?,0,-2
261,"I'm sorry, but there is no discussion on the talk page that indicates that there was a debate about renaming, so the keep vote stands, I'm afraid. There were nine votes to keep, and only one to merge, so I don't understand how a single vote trumps nine others?",0,0
262,I don't really see that as a problem. If it's a fringe position why not simply state it as such?,-1,0
263,"Regarding <url>: <url> seems to say the exact opposite (that links on a dab page should ''not'' be through redirects). The page is at <url>, so shouldn't that be how it's linked on the dab page?",0,0
264,E-mail me at <url> (just get rid of the spaces in between the letters and numbers) whenever you feel like it. By the way are you a member on any Iranian football forums online?,1,0
265,Good idea.... Perhaps though you could also make a list of kings on that page??,1,1
